table_name,column_name,target_table,target_column,cardinality,source
adresses,client_id,clients,id,many-to-one,types
affectations,conducteur_id,conducteurs,id,many-to-one,types
affectations,vehicule_id,vehicules,id,many-to-one,types
affectations,remorque_id,remorques,id,many-to-one,types
affretement_contract_equipments,contract_id,affretement_contracts,id,many-to-one,migration
affretement_contract_equipments,equipment_id,affreteur_equipments,id,many-to-one,migration
affretement_contract_history,contract_id,affretement_contracts,id,many-to-one,migration
affretement_contract_updates,contract_id,affretement_contracts,id,many-to-one,migration
affretement_contracts,ot_id,ordres_transport,id,many-to-one,migration
affretement_contracts,onboarding_id,affreteur_onboardings,id,many-to-one,migration
affretement_contracts,assigned_driver_id,affreteur_drivers,id,many-to-one,migration
affretement_contracts,assigned_vehicle_id,affreteur_vehicles,id,many-to-one,migration
affreteur_drivers,onboarding_id,affreteur_onboardings,id,many-to-one,migration
affreteur_employees,onboarding_id,affreteur_onboardings,id,many-to-one,migration
affreteur_equipments,onboarding_id,affreteur_onboardings,id,many-to-one,migration
affreteur_onboarding_history,onboarding_id,affreteur_onboardings,id,many-to-one,migration
affreteur_onboardings,owner_profile_id,profils,id,many-to-one,migration
affreteur_vehicles,onboarding_id,affreteur_onboardings,id,many-to-one,migration
conducteur_documents,conducteur_id,conducteurs,id,many-to-one,types
conducteur_evenements_rh,conducteur_id,conducteurs,id,many-to-one,types
conducteur_evenements_rh,document_id,conducteur_documents,id,many-to-one,types
contacts,client_id,clients,id,many-to-one,types
couts_mission,ot_id,ordres_transport,id,many-to-one,types
documents,ot_id,ordres_transport,id,many-to-one,types
entretiens,vehicule_id,vehicules,id,many-to-one,types
erp_v11_chat_messages,ot_id,ordres_transport,id,many-to-one,migration
erp_v11_client_portal_access,client_id,clients,id,many-to-one,migration
erp_v11_client_portal_access,ot_id,ordres_transport,id,many-to-one,migration
erp_v11_driver_activity,conducteur_id,conducteurs,id,many-to-one,migration
erp_v11_driver_activity,vehicule_id,vehicules,id,many-to-one,migration
erp_v11_driver_activity,ot_id,ordres_transport,id,many-to-one,migration
erp_v11_driver_sessions,conducteur_id,conducteurs,id,many-to-one,migration
erp_v11_eta_predictions,ot_id,ordres_transport,id,many-to-one,migration
erp_v11_eta_predictions,vehicle_id,vehicules,id,many-to-one,migration
erp_v11_vehicle_positions,vehicle_id,vehicules,id,many-to-one,migration
etapes_mission,adresse_id,adresses,id,many-to-one,types
etapes_mission,ot_id,ordres_transport,id,many-to-one,types
factures,client_id,clients,id,many-to-one,types
factures,ot_id,ordres_transport,id,many-to-one,types
flotte_documents,remorque_id,remorques,id,many-to-one,types
flotte_documents,vehicule_id,vehicules,id,many-to-one,types
flotte_entretiens,invoice_document_id,flotte_documents,id,many-to-one,types
flotte_entretiens,remorque_id,remorques,id,many-to-one,types
flotte_entretiens,vehicule_id,vehicules,id,many-to-one,types
historique_statuts,ot_id,ordres_transport,id,many-to-one,types
ordres_transport,facturation_id,factures,id,many-to-one,types
ordres_transport,client_id,clients,id,many-to-one,types
ordres_transport,conducteur_id,conducteurs,id,many-to-one,types
ordres_transport,remorque_id,remorques,id,many-to-one,types
ordres_transport,vehicule_id,vehicules,id,many-to-one,types
rapports_conducteurs,conducteur_id,conducteurs,id,many-to-one,migration
tachygraphe_entrees,conducteur_id,conducteurs,id,many-to-one,types
tachygraphe_entrees,ot_id,ordres_transport,id,many-to-one,types
tachygraphe_entrees,vehicule_id,vehicules,id,many-to-one,types
vehicule_releves_km,vehicule_id,vehicules,id,many-to-one,types
